Feature,Training_Missing,Test_Missing,Training_Min,Test_Min,Training_Max,Test_Max,Training_Mean,Test_Mean
Applied_Voltage_kV,0.0,0,8.0142,8.1451,31.9783,31.984,20.135588300000002,20.342829428571427
Load_Current_A,0.0,0,15.0079,15.5381,109.9526,109.76,63.2721393,62.06129314285713
Ambient_Temperature_C,0.0,0,18.0,18.0,55.0,55.0,34.1803927,34.488182
Test_Duration_min,0.0,0,5.0434,5.5271,59.9745,59.9207,31.9908627,31.474716285714287
Sensor_S1,6.0,1,0.0,0.2654,28.5205,26.8678,13.503142555331992,13.493851575931231
Sensor_S2,2.0,3,-0.2015,-1.5509,28.0601,25.0,13.663168737474951,13.55078213256484
Sensor_S3,7.0,2,0.0,0.0,35.7555,30.8454,16.967139577039273,16.887171839080462
Sensor_S4,29.0,11,11.4004,12.9395,87.7375,81.9709,49.75686477857878,49.436665486725666
Invalid_Probability,0.0,0,,0.0,,1.0,,0.14390051946736257
Anomaly_Score,0.0,0,,0.4050498375791884,,0.586466929393018,,0.4622888616742206
sensor_s2_negative,,0,,,,,,0.002857142857142857
sensor_zero_reading,,0,,,,,,0.002857142857142857
