Test_ID,Variable,Value,TriggeringMethods,ZScore,IQR_Bounds,Percentile_P1_P99,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,QualityIssueFlag,MissingAnyFlag,SensorS2NegativeFlag,SensorZeroFlag
TRN-0747,Applied_Voltage_kV,8.1623,Percentile_Extreme_<P1_or_>P99,-1.68,"[-5.06, 45.79]","[8.19, 31.77]",8.1623,16.276,27.7498,False,False,False,False
TRN-0294,Applied_Voltage_kV,31.8012,Percentile_Extreme_<P1_or_>P99,1.64,"[-5.06, 45.79]","[8.19, 31.77]",31.8012,33.9683,33.232,False,False,False,False
TRN-0666,Applied_Voltage_kV,8.1382,Percentile_Extreme_<P1_or_>P99,-1.68,"[-5.06, 45.79]","[8.19, 31.77]",8.1382,65.7363,39.0356,False,False,False,False
TRN-0662,Applied_Voltage_kV,8.1213,Percentile_Extreme_<P1_or_>P99,-1.69,"[-5.06, 45.79]","[8.19, 31.77]",8.1213,69.3968,29.281,False,False,False,False
TRN-0234,Applied_Voltage_kV,31.8555,Percentile_Extreme_<P1_or_>P99,1.64,"[-5.06, 45.79]","[8.19, 31.77]",31.8555,89.9514,38.7023,False,False,False,False
TRN-0838,Applied_Voltage_kV,31.932,Percentile_Extreme_<P1_or_>P99,1.66,"[-5.06, 45.79]","[8.19, 31.77]",31.932,79.8589,32.6147,False,False,False,False
TRN-0133,Applied_Voltage_kV,8.076,Percentile_Extreme_<P1_or_>P99,-1.69,"[-5.06, 45.79]","[8.19, 31.77]",8.076,29.8006,45.4033,False,False,False,False
TRN-0732,Applied_Voltage_kV,31.7669,Percentile_Extreme_<P1_or_>P99,1.63,"[-5.06, 45.79]","[8.19, 31.77]",31.7669,86.9219,26.3532,False,False,False,False
TRN-0222,Applied_Voltage_kV,8.156,Percentile_Extreme_<P1_or_>P99,-1.68,"[-5.06, 45.79]","[8.19, 31.77]",8.156,109.6769,19.718,False,False,False,False
TRN-0824,Applied_Voltage_kV,8.0753,Percentile_Extreme_<P1_or_>P99,-1.69,"[-5.06, 45.79]","[8.19, 31.77]",8.0753,73.0359,34.8506,False,False,False,False
TRN-0725,Applied_Voltage_kV,8.1896,Percentile_Extreme_<P1_or_>P99,-1.68,"[-5.06, 45.79]","[8.19, 31.77]",8.1896,17.9727,30.2487,False,False,False,False
TRN-0876,Applied_Voltage_kV,31.8671,Percentile_Extreme_<P1_or_>P99,1.65,"[-5.06, 45.79]","[8.19, 31.77]",31.8671,88.8569,30.5366,False,False,False,False
TRN-0112,Applied_Voltage_kV,8.0142,Percentile_Extreme_<P1_or_>P99,-1.7,"[-5.06, 45.79]","[8.19, 31.77]",8.0142,60.8575,28.5069,False,False,False,False
TRN-0127,Applied_Voltage_kV,31.9221,Percentile_Extreme_<P1_or_>P99,1.65,"[-5.06, 45.79]","[8.19, 31.77]",31.9221,26.6474,39.91,False,False,False,False
TRN-0789,Applied_Voltage_kV,8.159,Percentile_Extreme_<P1_or_>P99,-1.68,"[-5.06, 45.79]","[8.19, 31.77]",8.159,75.9748,31.6705,False,False,False,False
TRN-0663,Applied_Voltage_kV,31.9783,Percentile_Extreme_<P1_or_>P99,1.66,"[-5.06, 45.79]","[8.19, 31.77]",31.9783,109.3958,31.4348,False,False,False,False
TRN-0632,Applied_Voltage_kV,31.9735,Percentile_Extreme_<P1_or_>P99,1.66,"[-5.06, 45.79]","[8.19, 31.77]",31.9735,69.2267,37.9105,False,False,False,False
TRN-0122,Applied_Voltage_kV,31.8857,Percentile_Extreme_<P1_or_>P99,1.65,"[-5.06, 45.79]","[8.19, 31.77]",31.8857,49.6381,38.1437,False,False,False,False
TRN-0685,Applied_Voltage_kV,31.8763,Percentile_Extreme_<P1_or_>P99,1.65,"[-5.06, 45.79]","[8.19, 31.77]",31.8763,87.9656,35.5841,False,False,False,False
TRN-0701,Applied_Voltage_kV,8.0832,Percentile_Extreme_<P1_or_>P99,-1.69,"[-5.06, 45.79]","[8.19, 31.77]",8.0832,102.2184,27.279,False,False,False,False
