Feature,Valid_Count,Valid_Missing_Rate(%),Valid_Mean,Valid_Median,Valid_Std,Valid_P1,Valid_P25,Valid_P75,Valid_P99,Valid_IQR,Invalid_Count,Invalid_Missing_Rate(%),Invalid_Mean,Invalid_Median,Invalid_Std,Invalid_P1,Invalid_P25,Invalid_P75,Invalid_P99,Invalid_IQR
Applied_Voltage_kV,866,0.0,20.11,19.98,7.19,8.18,13.9,26.86,31.78,12.95,134,0.0,20.31,20.02,6.71,8.86,15.36,26.0,31.41,10.64
Load_Current_A,866,0.0,63.47,64.11,27.76,15.83,39.85,87.8,109.52,47.95,134,0.0,61.98,62.64,28.74,17.48,38.16,87.3,107.85,49.14
Ambient_Temperature_C,866,0.0,34.19,34.59,7.51,18.0,28.92,39.13,50.73,10.21,134,0.0,34.1,34.16,7.61,18.49,28.43,38.88,50.86,10.45
Test_Duration_min,866,0.0,31.6,31.31,15.78,5.28,18.19,45.09,59.26,26.9,134,0.0,34.51,33.3,15.75,5.51,21.94,47.65,59.47,25.72
Sensor_S1,866,0.0,13.51,13.63,3.83,5.89,10.52,16.5,20.84,5.98,128,4.48,13.43,13.59,5.51,0.36,9.99,16.94,24.99,6.96
Sensor_S2,866,0.0,13.62,13.57,3.51,6.29,11.01,16.16,20.83,5.15,132,1.49,13.97,13.92,6.01,0.02,10.33,17.52,26.41,7.19
Sensor_S3,866,0.0,16.99,16.95,4.92,7.6,12.85,21.27,26.0,8.42,127,5.22,16.82,16.52,6.56,1.0,12.82,21.76,30.06,8.93
Sensor_S4,837,3.35,49.59,49.02,12.61,20.04,41.71,57.24,80.1,15.53,134,0.0,50.78,52.74,12.06,21.82,42.19,58.52,75.99,16.32
Apparent_Power_kVA,866,0.0,1284.01,1112.61,757.29,194.73,690.14,1756.97,3204.04,1066.83,134,0.0,1265.88,1075.25,759.06,193.53,632.38,1751.15,3250.42,1118.76
Sensor_Spread,866,0.0,35.53,34.92,14.25,3.03,26.71,45.06,67.85,18.35,134,0.0,40.06,40.35,13.04,10.21,31.43,47.31,67.54,15.88
Sensor_Mean,866,0.0,23.14,23.2,4.46,12.21,20.19,26.23,32.65,6.04,134,0.0,24.07,24.34,4.84,13.5,20.59,27.13,34.81,6.54
Sensor_S1_S2_Ratio,866,0.0,0.99,0.99,0.1,0.8,0.91,1.06,1.19,0.15,134,0.0,34688.77,0.92,233209.1,0.0,0.74,1.2,1524109.9,0.46
Sensor_S3_S4_Ratio,866,0.0,59005.09,0.35,324303.5,0.12,0.26,0.46,2040048.0,0.2,134,0.0,0.34,0.32,0.2,0.0,0.22,0.45,1.06,0.23
