Feature,PointBiserial_Corr,PointBiserial_PValue,Spearman_Corr,Spearman_PValue,Cohens_D_EffectSize,Valid_Missing_Rate(%),Invalid_Missing_Rate(%)
Applied_Voltage_kV,0.0094,0.766401,0.0099,0.754167,0.0276,0.0,0.0
Load_Current_A,-0.0182,0.564335,-0.018,0.569465,-0.0535,0.0,0.0
Ambient_Temperature_C,-0.0042,0.893907,-0.0014,0.963752,-0.0124,0.0,0.0
Test_Duration_min,0.0627,0.047484,0.0623,0.04887,0.1842,0.0,0.0
Sensor_S1,-0.0072,0.81997,-0.0034,0.915478,-0.0216,0.0,4.48
Sensor_S2,0.0304,0.337,0.0274,0.386848,0.0898,0.0,1.49
Sensor_S3,-0.0112,0.723831,0.0022,0.943915,-0.0336,0.0,5.22
Sensor_S4,0.0326,0.309775,0.05,0.119364,0.0946,3.35,0.0
Apparent_Power_kVA,-0.0082,0.796619,-0.0101,0.750266,-0.0239,0.0,0.0
Sensor_Spread,0.1088,0.000569,0.1143,0.000293,0.3209,0.0,0.0
Sensor_Mean,0.0697,0.02742,0.0672,0.033666,0.205,0.0,0.0
Sensor_S1_S2_Ratio,0.1376,1.3e-05,-0.0829,0.008699,0.4074,0.0,0.0
Sensor_S3_S4_Ratio,-0.0665,0.035519,-0.0842,0.007729,-0.1954,0.0,0.0
