Residual_Feature,Valid_Mean,Valid_Median,Valid_Std,Invalid_Mean,Invalid_Median,Invalid_Std,Cohens_D_EffectSize,Invalid_Extreme_Residual_Rate(%)
Sensor_S2_AbsResidual,0.1375,0.117,0.1031,2.7665,0.2352,3.8434,1.8817,47.73
Sensor_S1_AbsResidual,0.1447,0.1216,0.1122,2.423,0.2389,3.7447,1.6952,45.31
Sensor_S3_AbsResidual,0.2356,0.1945,0.179,1.9657,0.2659,4.0496,1.1902,25.98
p1_mean_abs_residual,2.5021,1.9912,1.981,4.3094,4.0707,2.2494,0.8952,28.36
p1_consistency_index,0.388,0.3343,0.214,0.2363,0.1972,0.1401,-0.7376,2.24
p1_sensor_disagreement_index,1.5221,1.5157,0.5524,1.7016,1.6698,0.5818,0.3226,17.16
Sensor_S2_Residual,0.0,0.0024,0.1719,0.4362,0.0627,4.7214,0.2537,33.33
p1_max_abs_residual,9.4963,7.4026,7.916,11.3884,10.3023,6.2737,0.2452,6.72
p1_residual_error,9.4963,7.4026,7.916,11.3884,10.3023,6.2737,0.2452,6.72
Sensor_S3_Residual,0.0,0.0092,0.2959,-0.233,-0.0139,4.4988,-0.1431,23.62
Sensor_S4_Residual,0.0,-0.3501,12.5797,1.2562,2.4703,12.0884,0.1004,9.7
Sensor_S1_Residual,0.0,0.0015,0.1831,-0.0882,0.0037,4.4645,-0.0549,28.12
p1_regime_cluster,3.1305,4.0,1.0236,3.1791,4.0,1.0026,0.0476,0.0
Sensor_S4_AbsResidual,9.8145,7.7488,7.8619,9.9169,8.6494,6.9738,0.0132,6.72
