Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,Validity_Label,Sensor_S1_Expected,Sensor_S1_Residual,Sensor_S1_AbsResidual,Sensor_S2_Expected,Sensor_S2_Residual,Sensor_S2_AbsResidual,Sensor_S3_Expected,Sensor_S3_Residual,Sensor_S3_AbsResidual,Sensor_S4_Expected,Sensor_S4_Residual,Sensor_S4_AbsResidual,p1_max_abs_residual,p1_mean_abs_residual,p1_residual_error,p1_consistency_index,p1_sensor_disagreement_index,p1_regime_cluster
TRN-0889,16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,34.8501,Valid,13.382705676978931,0.25159432302106843,0.25159432302106843,14.833459332488696,0.30264066751130514,0.30264066751130514,16.05484401646555,0.45135598353444806,0.45135598353444806,49.80627180301347,13.105228196986523,13.105228196986523,13.105228196986523,3.5277047927633363,13.105228196986523,0.2208624558735162,1.821907650875595,2
TRN-0820,21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,30.4762,Valid,15.392954507884394,0.2536454921156057,0.2536454921156057,15.837314833336618,0.14758516666338117,0.14758516666338117,19.048764250075628,0.28013574992437285,0.28013574992437285,48.93113633620836,-9.06443633620836,9.06443633620836,9.06443633620836,2.43645068622793,9.06443633620836,0.29099791945440795,1.0666459386478535,4
TRN-0411,19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,46.8046,Valid,15.202748546108243,-0.09474854610824224,0.09474854610824224,16.665029284186986,-0.016929284186986138,0.016929284186986138,18.11434522975223,0.26905477024777014,0.26905477024777014,49.60801453738419,-5.0690145373841915,5.0690145373841915,5.0690145373841915,1.3624367844817975,5.0690145373841915,0.4232917496750504,1.2434074289696484,2
TRN-0754,22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,23.7153,Valid,14.983998633206848,-0.05439863320684779,0.05439863320684779,14.742739887543268,-0.04013988754326725,0.04013988754326725,18.737536560817386,-0.11063656081738671,0.11063656081738671,49.277246196561165,-5.009946196561167,5.009946196561167,5.009946196561167,1.303780319532167,5.009946196561167,0.43406916515506644,1.2781081818342952,4
TRN-0707,13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,48.5994,Valid,12.818712284227347,-0.1342122842273472,0.1342122842273472,15.208226939079502,0.03727306092049787,0.03727306092049787,14.917609278691682,-0.304409278691681,0.304409278691681,49.802852034660326,-5.730852034660323,5.730852034660323,5.730852034660323,1.5516866646249623,5.730852034660323,0.39189764709883623,1.4495139654407239,2
TRN-0140,13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,,22.9154,Valid,11.341103893781645,-0.005503893781645175,0.005503893781645175,12.341365047032705,0.07843495296729586,0.07843495296729586,13.651704525810393,0.11229547418960628,0.11229547418960628,49.12712728844647,,,0.11229547418960628,0.06541144031284911,0.11229547418960628,0.9386045260658721,0.1941713933287366,4
TRN-0881,21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,24.2957,Valid,14.326145552205421,0.32225444779457924,0.32225444779457924,14.346659843474319,0.2090401565256812,0.2090401565256812,17.910805589098644,0.5673944109013576,0.5673944109013576,49.5994907944135,5.232909205586502,5.232909205586502,5.232909205586502,1.58289955520203,5.232909205586502,0.38716178412202396,1.571547662316658,4
TRN-0381,27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,20.8262,Valid,15.41906958049331,0.219030419506689,0.219030419506689,13.696179251429383,0.19422074857061666,0.19422074857061666,20.398964227316572,0.20193577268342722,0.20193577268342722,49.28818694051213,-2.698486940512126,2.698486940512126,2.698486940512126,0.8284184703182147,2.698486940512126,0.5469207493982282,1.352340395086226,3
TRN-0095,27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,51.1599,Valid,18.744025882601534,-0.20542588260153494,0.20542588260153494,19.431170863227102,-0.41237086322710326,0.41237086322710326,23.3337256103291,-0.6192256103290994,0.6192256103290994,49.18789994629721,-5.9123999462972066,5.9123999462972066,5.9123999462972066,1.787355575613736,5.9123999462972066,0.3587629826452315,0.9555774628518098,1
TRN-0135,23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,18.4965,Invalid,13.650517181148846,-8.894917181148845,8.894917181148845,12.324053352324805,-0.05755335232480441,0.05755335232480441,17.774340720507958,-0.27404072050795847,0.27404072050795847,49.70046645113769,-14.853366451137695,14.853366451137695,14.853366451137695,6.019969426279825,14.853366451137695,0.14245076285609148,1.7351419657676839,4
TRN-0633,27.3166,35.2106,18.0,41.4065,15.4562,13.3195,20.1433,61.2734,18.9191,Valid,15.51278590203199,-0.056585902031988766,0.056585902031988766,13.276584071878927,0.042915928121072255,0.042915928121072255,20.239525786404446,-0.09622578640444601,0.09622578640444601,48.45397329615158,12.819426703848421,12.819426703848421,12.819426703848421,3.253788580101482,12.819426703848421,0.23508455607733642,1.740732848823386,3
TRN-0138,17.7127,48.0925,30.733,23.2218,11.7089,11.4861,14.8118,65.0676,17.5449,Valid,11.409393635579482,0.2995063644205178,0.2995063644205178,11.300576470536594,0.18552352946340633,0.18552352946340633,14.500034682002216,0.31176531799778395,0.31176531799778395,50.041484435294684,15.026115564705314,15.026115564705314,15.026115564705314,3.9557276941467556,15.026115564705314,0.20178671261157205,2.0793321797334046,4
TRN-0591,10.2728,88.373,37.5953,58.4948,10.6857,12.8873,12.4997,83.903,31.5651,Valid,10.483540713147814,0.20215928685218643,0.20215928685218643,12.66610226419981,0.22119773580019064,0.22119773580019064,12.303459999560616,0.19624000043938494,0.19624000043938494,49.747552879900574,34.15544712009943,34.15544712009943,34.15544712009943,8.693761035797799,34.15544712009943,0.10315913465445765,2.441070169685972,2
TRN-0262,30.7232,28.9017,38.9336,45.1598,17.0465,14.7144,22.609,53.4406,22.15,Valid,16.875637238488725,0.17086276151127677,0.17086276151127677,14.62135114731141,0.09304885268858953,0.09304885268858953,22.44701706966727,0.16198293033273004,0.16198293033273004,48.86267972926423,4.577920270735774,4.577920270735774,4.577920270735774,1.2509537038170926,4.577920270735774,0.44425613832227345,1.4368242659762211,3
TRN-0729,27.8122,59.7061,25.295,56.0876,17.8995,16.2175,22.741,53.7565,22.7879,Valid,17.287182890752433,0.6123171092475665,0.6123171092475665,15.885145911954519,0.3323540880454825,0.3323540880454825,22.09070106088604,0.6502989391139593,0.6502989391139593,48.07438939931837,5.682110600681632,5.682110600681632,5.682110600681632,1.8192701842721601,5.682110600681632,0.35470172585043175,1.3574707267236297,3
