feature_name,valid_mean,invalid_mean,pearson_r_invalid,p_value,separation_status
Applied_Voltage_kV,20.1092,20.3059,0.0094,0.766401,Weak
Load_Current_A,63.4722,61.979,-0.0182,0.564335,Weak
Ambient_Temperature_C,34.1929,34.0997,-0.0042,0.893907,Weak
Test_Duration_min,31.6015,34.5074,0.0627,0.047484,Weak
Sensor_S1,13.5145,13.4264,-0.0072,0.81997,Weak
Sensor_S2,13.6165,13.969,0.0304,0.337,Weak
Sensor_S3,16.9893,16.8161,-0.0112,0.723831,Weak
Sensor_S4,49.5933,50.7784,0.0326,0.309775,Weak
missing_any,0.0335,0.1119,0.1303,3.6e-05,Moderate
duplicate_measurement_pair,0.0,0.1791,0.3986,0.0,Strong
sensor_s2_negative,0.0,0.0075,0.0804,0.010947,Weak
sensor_zero_reading,0.0,0.0224,0.1395,1e-05,Moderate
data_quality_issue_count,0.0335,0.1119,0.1303,3.6e-05,Moderate
data_quality_issue,0.0335,0.1119,0.1303,3.6e-05,Moderate
S1_minus_S2,-0.1021,-0.5458,-0.0564,0.075717,Weak
S1_minus_S3,-3.4748,-3.3665,0.0137,0.666737,Weak
S1_minus_S4,-36.0968,-37.4328,-0.0341,0.290266,Weak
S2_minus_S3,-3.3727,-2.8727,0.0505,0.112091,Weak
S2_minus_S4,-35.9972,-36.7747,-0.0201,0.531305,Weak
S3_minus_S4,-32.6259,-34.2117,-0.0387,0.230068,Weak
sensor_mean_S1_S2_S3,14.7068,14.7538,0.0039,0.901833,Weak
sensor_median_S1_S2_S3,14.0461,14.9853,0.0844,0.007571,Weak
sensor_std_S1_S2_S3,2.1292,4.119,0.4659,0.0,Strong
sensor_mean_S1_S2_S3_S4,23.1412,24.0655,0.0697,0.02742,Weak
sensor_median_S1_S2_S3_S4,15.4795,16.7641,0.102,0.001242,Moderate
sensor_std_S1_S2_S3_S4,17.0933,18.8307,0.085,0.007153,Weak
max_minus_min_sensors,35.5331,40.0567,0.1088,0.000569,Moderate
pairwise_abs_diff_mean,18.2686,21.2092,0.1413,7e-06,Moderate
pairwise_abs_diff_max,35.5331,40.0567,0.1088,0.000569,Moderate
Apparent_Power_kVA,1284.0087,1265.8803,-0.0082,0.796619,Weak
Thermal_Loading_Index,1989.2462,2112.7664,0.0301,0.342295,Weak
Apparent_Impedance_Proxy,412.7828,436.323,0.0263,0.406406,Weak
Sensor_S1_Expected,13.5145,13.5609,0.0042,0.895506,Weak
Sensor_S1_Residual,0.0,-0.0882,-0.0184,0.562207,Weak
Sensor_S1_AbsResidual,0.1447,2.423,0.4941,0.0,Strong
Sensor_S2_Expected,13.6165,13.5797,-0.0036,0.909328,Weak
Sensor_S2_Residual,0.0,0.4362,0.0857,0.006746,Weak
Sensor_S2_AbsResidual,0.1375,2.7665,0.5379,0.0,Strong
Sensor_S3_Expected,16.9893,17.0887,0.007,0.825936,Weak
Sensor_S3_Residual,0.0,-0.233,-0.0478,0.132281,Weak
Sensor_S3_AbsResidual,0.2356,1.9657,0.3697,0.0,Strong
Sensor_S4_Expected,49.5913,49.5222,-0.0284,0.369967,Weak
Sensor_S4_Residual,0.0,1.2562,0.0346,0.280901,Weak
Sensor_S4_AbsResidual,9.8145,9.9169,0.0046,0.887029,Weak
p1_max_abs_residual,9.4963,11.3884,0.0833,0.008392,Weak
p1_mean_abs_residual,2.5021,4.3094,0.292,0.0,Moderate
p1_residual_error,9.4963,11.3884,0.0833,0.008392,Weak
p1_consistency_index,0.388,0.2363,-0.2439,0.0,Moderate
p1_sensor_disagreement_index,1.5221,1.7016,0.1094,0.000532,Moderate
p1_regime_cluster,3.1305,3.1791,0.0162,0.608014,Weak
