feature_name,data_type,missing_count,missing_rate(%),mean,std,min,max
Applied_Voltage_kV,float64,0,0.0,20.1356,7.1254,8.0142,31.9783
Load_Current_A,float64,0,0.0,63.2721,27.8869,15.0079,109.9526
Ambient_Temperature_C,float64,0,0.0,34.1804,7.5176,18.0,55.0
Test_Duration_min,float64,0,0.0,31.9909,15.7984,5.0434,59.9745
Sensor_S1,float64,6,0.6,13.5031,4.0845,0.0,28.5205
Sensor_S2,float64,2,0.2,13.6632,3.9269,-0.2015,28.0601
Sensor_S3,float64,7,0.7,16.9671,5.1542,0.0,35.7555
Sensor_S4,float64,29,2.9,49.7569,12.5331,11.4004,87.7375
missing_any,bool,0,0.0,0.044,0.2052,0.0,1.0
missing_critical_measurement,bool,0,0.0,0.0,0.0,0.0,0.0
non_finite_value,bool,0,0.0,0.0,0.0,0.0,0.0
duplicate_full_row,bool,0,0.0,0.0,0.0,0.0,0.0
duplicate_test_id,bool,0,0.0,0.0,0.0,0.0,0.0
duplicate_measurement_pair,bool,0,0.0,0.024,0.1531,0.0,1.0
malformed_numeric,bool,0,0.0,0.0,0.0,0.0,0.0
invalid_voltage,bool,0,0.0,0.0,0.0,0.0,0.0
invalid_current,bool,0,0.0,0.0,0.0,0.0,0.0
invalid_duration,bool,0,0.0,0.0,0.0,0.0,0.0
invalid_ambient_temp,bool,0,0.0,0.0,0.0,0.0,0.0
sensor_s2_negative,bool,0,0.0,0.001,0.0316,0.0,1.0
sensor_zero_reading,bool,0,0.0,0.003,0.0547,0.0,1.0
data_quality_issue_count,int64,0,0.0,0.044,0.2052,0.0,1.0
data_quality_issue,bool,0,0.0,0.044,0.2052,0.0,1.0
S1_minus_S2,float64,8,0.8,-0.1584,2.6205,-18.0542,17.6418
S1_minus_S3,float64,13,1.3,-3.4615,2.5897,-23.1812,15.1028
S1_minus_S4,float64,35,3.5,-36.274,13.3055,-79.6528,5.956
S2_minus_S3,float64,9,0.9,-3.3097,3.2886,-21.7538,14.843
S2_minus_S4,float64,31,3.1,-36.1031,13.2545,-79.5941,4.9724
S3_minus_S4,float64,36,3.6,-32.8348,13.8693,-77.0447,11.3145
sensor_mean_S1_S2_S3,float64,0,0.0,14.7131,4.1029,4.6856,26.2428
sensor_median_S1_S2_S3,float64,0,0.0,14.172,3.792,4.9854,26.6706
sensor_std_S1_S2_S3,float64,0,0.0,2.3958,1.4556,0.0729,12.1445
sensor_mean_S1_S2_S3_S4,float64,0,0.0,23.265,4.5167,9.688,36.6852
sensor_median_S1_S2_S3_S4,float64,0,0.0,15.6516,4.2933,5.7549,28.6717
sensor_std_S1_S2_S3_S4,float64,0,0.0,17.3261,6.9658,0.9864,39.4007
max_minus_min_sensors,float64,0,0.0,36.1392,14.1717,2.1903,79.6528
pairwise_abs_diff_mean,float64,0,0.0,18.6626,7.0952,1.2502,40.2513
pairwise_abs_diff_max,float64,0,0.0,36.1392,14.1717,2.1903,79.6528
Apparent_Power_kVA,float64,0,0.0,1281.5795,757.175,132.8496,3498.2917
Thermal_Loading_Index,float64,0,0.0,2005.7979,1400.4332,117.6497,6305.7843
Apparent_Impedance_Proxy,float64,0,0.0,415.9372,305.2602,74.3639,1999.0082
Sensor_S1_Expected,float64,0,0.0,13.5207,3.8016,5.0767,21.8989
Sensor_S1_Residual,float64,6,0.6,-0.0114,1.606,-18.5278,17.4752
Sensor_S1_AbsResidual,float64,6,0.6,0.4381,1.5451,0.0004,18.5278
Sensor_S2_Expected,float64,0,0.0,13.6116,3.4839,5.2165,21.6357
Sensor_S2_Residual,float64,2,0.2,0.0577,1.7253,-16.0385,16.1109
Sensor_S2_AbsResidual,float64,2,0.2,0.4852,1.6566,0.0001,16.1109
Sensor_S3_Expected,float64,0,0.0,17.0026,4.8678,6.722,27.1254
Sensor_S3_Residual,float64,7,0.7,-0.0298,1.6289,-16.9311,11.1008
Sensor_S3_AbsResidual,float64,7,0.7,0.4568,1.5637,0.0004,16.9311
Sensor_S4_Expected,float64,0,0.0,49.5821,0.8303,47.3353,52.0068
Sensor_S4_Residual,float64,29,2.9,0.1734,12.5145,-38.716,36.2809
Sensor_S4_AbsResidual,float64,29,2.9,9.8286,7.7422,0.0001,38.716
p1_max_abs_residual,float64,0,0.0,9.7498,7.7404,0.0624,38.716
p1_mean_abs_residual,float64,0,0.0,2.7443,2.1098,0.0228,10.7722
p1_residual_error,float64,0,0.0,9.7498,7.7404,0.0624,38.716
p1_consistency_index,float64,0,0.0,0.3677,0.212,0.0849,0.9777
p1_sensor_disagreement_index,float64,0,0.0,1.5462,0.5595,0.1617,3.1092
p1_regime_cluster,int64,0,0.0,3.137,1.0204,1.0,4.0
