Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,missing_any,missing_critical_measurement,non_finite_value,duplicate_full_row,duplicate_test_id,duplicate_measurement_pair,malformed_numeric,invalid_voltage,invalid_current,invalid_duration,invalid_ambient_temp,sensor_s2_negative,sensor_zero_reading,data_quality_issue_count,data_quality_issue,S1_minus_S2,S1_minus_S3,S1_minus_S4,S2_minus_S3,S2_minus_S4,S3_minus_S4,sensor_mean_S1_S2_S3,sensor_median_S1_S2_S3,sensor_std_S1_S2_S3,sensor_mean_S1_S2_S3_S4,sensor_median_S1_S2_S3_S4,sensor_std_S1_S2_S3_S4,max_minus_min_sensors,pairwise_abs_diff_mean,pairwise_abs_diff_max,Apparent_Power_kVA,Thermal_Loading_Index,Apparent_Impedance_Proxy,Sensor_S1_Expected,Sensor_S1_Residual,Sensor_S1_AbsResidual,Sensor_S2_Expected,Sensor_S2_Residual,Sensor_S2_AbsResidual,Sensor_S3_Expected,Sensor_S3_Residual,Sensor_S3_AbsResidual,Sensor_S4_Expected,Sensor_S4_Residual,Sensor_S4_AbsResidual,p1_max_abs_residual,p1_mean_abs_residual,p1_residual_error,p1_consistency_index,p1_sensor_disagreement_index,p1_regime_cluster
16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,-1.5018000000000011,-2.8719,-49.27719999999999,-1.370099999999999,-47.7754,-46.4053,15.0922,15.1361,1.4364532049461272,27.047024999999998,15.82115,23.938399312871777,49.27719999999999,24.86695,49.27719999999999,1556.97596688,1858.22822488,179.543551144988,13.382705676978931,0.25159432302106843,0.25159432302106843,14.833459332488696,0.30264066751130514,0.30264066751130514,16.05484401646555,0.45135598353444806,0.45135598353444806,49.80627180301347,13.105228196986523,13.105228196986523,13.105228196986523,3.5277047927633363,13.105228196986523,0.2208624558735162,1.821907650875595,2
21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,-0.33830000000000027,-3.6823000000000015,-24.220100000000002,-3.344000000000001,-23.881800000000002,-20.5378,16.9868,15.9849,2.035358943773801,22.706775,17.6569,11.560027970950879,24.220100000000002,12.667383333333335,24.220100000000002,1769.9285471,3883.1445219,259.8996328417977,15.392954507884394,0.2536454921156057,0.2536454921156057,15.837314833336618,0.14758516666338117,0.14758516666338117,19.048764250075628,0.28013574992437285,0.28013574992437285,48.93113633620836,-9.06443633620836,9.06443633620836,9.06443633620836,2.43645068622793,9.06443633620836,0.29099791945440795,1.0666459386478535,4
19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,-1.540099999999999,-3.275400000000001,-29.431,-1.7353000000000023,-27.890900000000002,-26.1556,16.713166666666666,16.6481,1.6386691378473373,23.669625,17.51575,13.977102985567742,29.431,15.004716666666667,29.431,2065.9865140800002,566.47359297,179.23675165615066,15.202748546108243,-0.09474854610824224,0.09474854610824224,16.665029284186986,-0.016929284186986138,0.016929284186986138,18.11434522975223,0.26905477024777014,0.26905477024777014,49.60801453738419,-5.0690145373841915,5.0690145373841915,5.0690145373841915,1.3624367844817975,5.0690145373841915,0.4232917496750504,1.2434074289696484,2
22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0.2270000000000003,-3.6972999999999985,-29.337699999999998,-3.924299999999999,-29.5647,-25.6404,16.086366666666667,14.9296,2.2030920233465805,23.1316,16.77825,14.204822908435007,29.5647,15.398566666666667,29.5647,1589.6327079,1420.7275418999998,324.7023217850303,14.983998633206848,-0.05439863320684779,0.05439863320684779,14.742739887543268,-0.04013988754326725,0.04013988754326725,18.737536560817386,-0.11063656081738671,0.11063656081738671,49.277246196561165,-5.009946196561167,5.009946196561167,5.009946196561167,1.303780319532167,5.009946196561167,0.43406916515506644,1.2781081818342952,4
13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,-2.561,-1.928700000000001,-31.387500000000003,0.632299999999999,-28.826500000000003,-29.458800000000004,14.181066666666666,14.6132,1.334066963586661,21.6538,14.92935,14.985108063007088,31.387500000000003,15.799133333333335,31.387500000000003,1470.23576992,3179.21279061,123.9743907960989,12.818712284227347,-0.1342122842273472,0.1342122842273472,15.208226939079502,0.03727306092049787,0.03727306092049787,14.917609278691682,-0.304409278691681,0.304409278691681,49.802852034660326,-5.730852034660323,5.730852034660323,5.730852034660323,1.5516866646249623,5.730852034660323,0.39189764709883623,1.4495139654407239,2
13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,,True,False,False,False,False,False,False,False,False,False,False,False,False,1,True,-1.084200000000001,-2.4284,,-1.344199999999999,,,12.506466666666668,12.4198,1.2165175598129823,12.506466666666668,12.4198,1.2165175598129823,2.4284,1.6189333333333333,2.4284,1024.4126967900002,4543.14241157,177.4879689085084,11.341103893781645,-0.005503893781645175,0.005503893781645175,12.341365047032705,0.07843495296729586,0.07843495296729586,13.651704525810393,0.11229547418960628,0.11229547418960628,49.12712728844647,,,0.11229547418960628,0.06541144031284911,0.11229547418960628,0.9386045260658721,0.1941713933287366,4
21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,0.09270000000000067,-3.8298000000000005,-40.184,-3.922500000000001,-40.2767,-36.3542,15.8941,14.6484,2.2383761815208816,25.628675,16.5633,19.554744190157535,40.2767,20.77665,40.2767,1485.8517114899998,1190.4170272499998,311.729293185038,14.326145552205421,0.32225444779457924,0.32225444779457924,14.346659843474319,0.2090401565256812,0.2090401565256812,17.910805589098644,0.5673944109013576,0.5673944109013576,49.5994907944135,5.232909205586502,5.232909205586502,5.232909205586502,1.58289955520203,5.232909205586502,0.38716178412202396,1.571547662316658,4
27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,1.7477,-4.9628,-30.9516,-6.7105,-32.6993,-25.9888,16.7098,15.6381,3.4812509576300297,24.179775,18.1195,15.20794238183347,32.6993,17.176783333333333,32.6993,879.88833603,1175.71377132,862.7184883724935,15.41906958049331,0.219030419506689,0.219030419506689,13.696179251429383,0.19422074857061666,0.19422074857061666,20.398964227316572,0.20193577268342722,0.20193577268342722,49.28818694051213,-2.698486940512126,2.698486940512126,2.698486940512126,0.8284184703182147,2.698486940512126,0.5469207493982282,1.352340395086226,3
27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,-0.48019999999999996,-4.175900000000002,-24.736900000000002,-3.695700000000002,-24.256700000000002,-20.561,20.090633333333333,19.0188,2.2849847315317753,25.886850000000003,20.86665,11.74160469172194,24.736900000000002,12.9844,24.736900000000002,2651.3380308799997,2865.5392057599997,275.4282008952701,18.744025882601534,-0.20542588260153494,0.20542588260153494,19.431170863227102,-0.41237086322710326,0.41237086322710326,23.3337256103291,-0.6192256103290994,0.6192256103290994,49.18789994629721,-5.9123999462972066,5.9123999462972066,5.9123999462972066,1.787355575613736,5.9123999462972066,0.3587629826452315,0.9555774628518098,1
23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,False,False,False,False,False,False,False,False,False,False,False,False,False,0,False,-7.5109,-12.744699999999998,-30.091499999999996,-5.233799999999999,-22.580599999999997,-17.346799999999998,11.507466666666668,12.2665,6.406164470518481,17.342375,14.8834,12.788429008906188,30.091499999999996,15.91805,30.091499999999996,885.37915328,512.44216048,644.0575659017051,13.650517181148846,-8.894917181148845,8.894917181148845,12.324053352324805,-0.05755335232480441,0.05755335232480441,17.774340720507958,-0.27404072050795847,0.27404072050795847,49.70046645113769,-14.853366451137695,14.853366451137695,14.853366451137695,6.019969426279825,14.853366451137695,0.14245076285609148,1.7351419657676839,4
