Method,Test_ID,Load_Current_A,Applied_Voltage_kV,p1_max_abs_residual,Validity_Label,FN_Analysis
Deterministic_Quality,TRN-0135,37.0768,23.8796,14.853366451137695,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0087,31.0902,17.6142,11.025271253790358,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0323,94.5641,23.8319,6.203237684003529,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0124,44.4546,28.7059,10.2075906895464,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0518,68.5258,30.191,7.605493666704248,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0097,15.5749,24.0983,23.23403982637224,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0743,22.9675,16.6379,10.767170314168254,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0304,17.7618,23.6657,5.625903600685852,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0622,23.2536,21.0295,6.456989203762762,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
Deterministic_Quality,TRN-0167,28.8878,9.1955,8.847235580580026,Invalid,Historically Invalid test missed by Deterministic_Quality. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0135,37.0768,23.8796,14.853366451137695,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0087,31.0902,17.6142,11.025271253790358,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0533,72.927,17.5311,7.106398709854304,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0323,94.5641,23.8319,6.203237684003529,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0518,68.5258,30.191,7.605493666704248,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0097,15.5749,24.0983,23.23403982637224,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0743,22.9675,16.6379,10.767170314168254,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
IQR_Statistical_Outlier,TRN-0304,17.7618,23.6657,5.625903600685852,Invalid,Historically Invalid test missed by IQR_Statistical_Outlier. Requires contextual/residual feature modeling.
