Method,Test_ID,Operating_Regime,Load_Current_A,Applied_Voltage_kV,p1_max_abs_residual,Validity_Label,FP_Analysis
Deterministic_Quality,TRN-0140,Standard,75.9719,13.4841,0.11229547418960628,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0405,Standard,33.6779,24.6143,0.2505053774371895,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0257,High Voltage,29.4846,30.6035,0.12317342102844897,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0434,Heavy Current,91.2825,18.3304,0.272123542860232,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0920,High Voltage,43.5856,28.0007,0.22893136169960826,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0324,Standard,80.1765,18.6204,0.10509384927746268,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0129,Heavy Current,103.3248,21.1678,0.3699407272687445,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0995,Heavy Current,90.321,14.8736,0.49416681908986604,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0828,Standard,56.5112,12.2969,0.14313458833220594,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
Deterministic_Quality,TRN-0969,High Voltage,21.4751,30.7801,0.188409814069729,Valid,Historically Valid test flagged by Deterministic_Quality. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0591,Heavy Current,88.373,10.2728,34.15544712009943,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0434,Heavy Current,91.2825,18.3304,0.272123542860232,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0057,High Voltage,57.0555,30.1846,35.48085265568844,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0838,High Voltage,79.8589,31.932,33.33346429810561,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0893,Standard,18.3131,14.6172,36.28090056409801,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0488,Standard,48.5443,9.8739,32.91068912577897,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0795,Standard,75.9294,19.6172,38.716029618046,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0946,Standard,50.6899,13.2616,0.8823060677252812,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0101,High Voltage,67.3367,27.1641,31.645556834606438,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
IQR_Statistical_Outlier,TRN-0322,Standard,44.1289,19.8459,34.721842313897305,Valid,Historically Valid test flagged by IQR_Statistical_Outlier. Likely high operating condition or unusual sensor fluctuation.
ZScore_Statistical,TRN-0893,Standard,18.3131,14.6172,36.28090056409801,Valid,Historically Valid test flagged by ZScore_Statistical. Likely high operating condition or unusual sensor fluctuation.
ZScore_Statistical,TRN-0795,Standard,75.9294,19.6172,38.716029618046,Valid,Historically Valid test flagged by ZScore_Statistical. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0591,Heavy Current,88.373,10.2728,34.15544712009943,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0307,Heavy HV Load,105.7357,30.2039,8.860399987315432,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0268,High Voltage,18.2128,31.5596,21.099150301637337,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
Isolation_Forest,TRN-0676,Heavy HV Load,99.9672,28.9435,9.223982100371039,Valid,Historically Valid test flagged by Isolation_Forest. Likely high operating condition or unusual sensor fluctuation.
