Operating_Regime,Regime_Record_Count,Regime_Invalid_Count,Method,Precision,Recall,F1_Score
Heavy Current,179,24,Deterministic_Quality,0.3,0.125,0.1765
Heavy Current,179,24,IQR_Statistical_Outlier,0.0,0.0,0.0
Heavy Current,179,24,ZScore_Statistical,1.0,0.0417,0.08
Heavy Current,179,24,Isolation_Forest,0.2857,0.25,0.2667
Heavy Current,179,24,LOF_Local_Outlier_Factor,1.0,0.0833,0.1538
Heavy Current,179,24,Residual_Consistency_Threshold,0.162,0.9583,0.2771
Heavy HV Load,94,11,Deterministic_Quality,0.4,0.1818,0.25
Heavy HV Load,94,11,IQR_Statistical_Outlier,1.0,0.5455,0.7059
Heavy HV Load,94,11,ZScore_Statistical,1.0,0.5455,0.7059
Heavy HV Load,94,11,Isolation_Forest,0.2439,0.9091,0.3846
Heavy HV Load,94,11,LOF_Local_Outlier_Factor,1.0,0.5455,0.7059
Heavy HV Load,94,11,Residual_Consistency_Threshold,0.1429,0.9091,0.2469
High Voltage,223,29,Deterministic_Quality,0.4,0.1379,0.2051
High Voltage,223,29,IQR_Statistical_Outlier,0.4,0.1379,0.2051
High Voltage,223,29,ZScore_Statistical,1.0,0.069,0.129
High Voltage,223,29,Isolation_Forest,0.3611,0.4483,0.4
High Voltage,223,29,LOF_Local_Outlier_Factor,1.0,0.1379,0.2424
High Voltage,223,29,Residual_Consistency_Threshold,0.1629,1.0,0.2802
Standard,504,70,Deterministic_Quality,0.4348,0.1429,0.2151
Standard,504,70,IQR_Statistical_Outlier,0.7059,0.1714,0.2759
Standard,504,70,ZScore_Statistical,0.8333,0.1429,0.2439
Standard,504,70,Isolation_Forest,0.3667,0.4714,0.4125
Standard,504,70,LOF_Local_Outlier_Factor,1.0,0.1714,0.2927
Standard,504,70,Residual_Consistency_Threshold,0.1571,0.9,0.2675
