feature_name,importance_mean,importance_std
duplicate_measurement_pair,0.091069,0.010081
sensor_std_S1_S2_S3,0.031356,0.009136
Sensor_S1_AbsResidual,0.001859,0.001859
Sensor_S2_AbsResidual,0.000372,0.001115
Sensor_S1,0.0,0.0
Sensor_S2,0.0,0.0
Sensor_S3,0.0,0.0
Sensor_S4,0.0,0.0
missing_any,0.0,0.0
Applied_Voltage_kV,0.0,0.0
Ambient_Temperature_C,0.0,0.0
Load_Current_A,0.0,0.0
duplicate_full_row,0.0,0.0
duplicate_test_id,0.0,0.0
malformed_numeric,0.0,0.0
invalid_voltage,0.0,0.0
invalid_current,0.0,0.0
invalid_duration,0.0,0.0
invalid_ambient_temp,0.0,0.0
sensor_s2_negative,0.0,0.0
sensor_zero_reading,0.0,0.0
data_quality_issue_count,0.0,0.0
data_quality_issue,0.0,0.0
S1_minus_S2,0.0,0.0
S1_minus_S3,0.0,0.0
missing_critical_measurement,0.0,0.0
non_finite_value,0.0,0.0
Test_Duration_min,0.0,0.0
S2_minus_S4,0.0,0.0
S2_minus_S3,0.0,0.0
S1_minus_S4,0.0,0.0
sensor_mean_S1_S2_S3,0.0,0.0
sensor_mean_S1_S2_S3_S4,0.0,0.0
sensor_median_S1_S2_S3_S4,0.0,0.0
sensor_std_S1_S2_S3_S4,0.0,0.0
S3_minus_S4,0.0,0.0
max_minus_min_sensors,0.0,0.0
pairwise_abs_diff_mean,0.0,0.0
Apparent_Power_kVA,0.0,0.0
pairwise_abs_diff_max,0.0,0.0
Thermal_Loading_Index,0.0,0.0
Apparent_Impedance_Proxy,0.0,0.0
Sensor_S1_Expected,0.0,0.0
sensor_median_S1_S2_S3,0.0,0.0
Sensor_S1_Residual,0.0,0.0
Sensor_S2_Expected,0.0,0.0
Sensor_S2_Residual,0.0,0.0
Sensor_S3_Expected,0.0,0.0
Sensor_S3_Residual,0.0,0.0
Sensor_S3_AbsResidual,0.0,0.0
Sensor_S4_Expected,0.0,0.0
Sensor_S4_Residual,0.0,0.0
Sensor_S4_AbsResidual,0.0,0.0
p1_max_abs_residual,0.0,0.0
p1_mean_abs_residual,0.0,0.0
p1_residual_error,0.0,0.0
p1_consistency_index,0.0,0.0
p1_sensor_disagreement_index,0.0,0.0
p1_regime_cluster,0.0,0.0
isolation_forest_score,0.0,0.0
