Model,Feature_Set,Invalid_Precision,Invalid_Recall,Invalid_F1,Macro_F1,Balanced_Accuracy,Accuracy,ROC_AUC,PR_AUC,TP,TN,FP,FN,Config_Key
Random_Forest,Set_D_Full_Stage5,0.9848,0.9701,0.9774,0.987,0.9839,0.994,0.9999,0.9991,130,864,2,4,Random_Forest__Set_D_Full_Stage5
Random_Forest,Set_E_Stage5_AnomalyScore,0.9774,0.9701,0.9738,0.9849,0.9833,0.993,0.9998,0.9989,130,863,3,4,Random_Forest__Set_E_Stage5_AnomalyScore
Hist_Gradient_Boosting,Set_E_Stage5_AnomalyScore,0.9845,0.9478,0.9658,0.9803,0.9727,0.991,0.9818,0.9762,127,864,2,7,Hist_Gradient_Boosting__Set_E_Stage5_AnomalyScore
Hist_Gradient_Boosting,Set_D_Full_Stage5,0.9844,0.9403,0.9618,0.978,0.969,0.99,0.9828,0.9778,126,864,2,8,Hist_Gradient_Boosting__Set_D_Full_Stage5
Logistic_Regression,Set_D_Full_Stage5,1.0,0.8433,0.915,0.9515,0.9216,0.979,0.9767,0.9406,113,866,0,21,Logistic_Regression__Set_D_Full_Stage5
Logistic_Regression,Set_E_Stage5_AnomalyScore,0.9912,0.8358,0.9069,0.9469,0.9173,0.977,0.9787,0.941,112,865,1,22,Logistic_Regression__Set_E_Stage5_AnomalyScore
Hist_Gradient_Boosting,Set_C_Raw_Residuals,0.9818,0.806,0.8852,0.9347,0.9018,0.972,0.9564,0.9226,108,864,2,26,Hist_Gradient_Boosting__Set_C_Raw_Residuals
Random_Forest,Set_C_Raw_Residuals,0.9391,0.806,0.8675,0.9243,0.8989,0.967,0.946,0.9093,108,859,7,26,Random_Forest__Set_C_Raw_Residuals
Logistic_Regression,Set_C_Raw_Residuals,0.9266,0.7537,0.8313,0.904,0.8722,0.959,0.8964,0.8353,101,858,8,33,Logistic_Regression__Set_C_Raw_Residuals
Hist_Gradient_Boosting,Set_B_Raw_Quality,0.9425,0.6119,0.7421,0.855,0.8031,0.943,0.9508,0.8662,82,861,5,52,Hist_Gradient_Boosting__Set_B_Raw_Quality
Random_Forest,Set_B_Raw_Quality,0.866,0.6269,0.7273,0.8458,0.8059,0.937,0.932,0.792,84,853,13,50,Random_Forest__Set_B_Raw_Quality
Hist_Gradient_Boosting,Set_A_Raw,0.9091,0.597,0.7207,0.8429,0.7939,0.938,0.9343,0.8247,80,858,8,54,Hist_Gradient_Boosting__Set_A_Raw
Random_Forest,Set_A_Raw,0.8242,0.5597,0.6667,0.8122,0.7706,0.925,0.9289,0.7641,75,850,16,59,Random_Forest__Set_A_Raw
Logistic_Regression,Set_B_Raw_Quality,0.2007,0.4254,0.2727,0.5403,0.5816,0.696,0.5439,0.2434,57,639,227,77,Logistic_Regression__Set_B_Raw_Quality
Logistic_Regression,Set_A_Raw,0.1158,0.3507,0.1741,0.4343,0.4681,0.554,0.4498,0.1971,47,507,359,87,Logistic_Regression__Set_A_Raw
