Threshold,Num_Flagged,Flag_Rate(%),Invalid_Precision,Invalid_Recall,Invalid_F1,Balanced_Accuracy,Accuracy,TP,TN,FP,FN
0.15,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.55,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.2,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.25,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.3,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.35,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.4,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.45,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.5,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.65,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.6,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.7,134,13.4,1.0,1.0,1.0,1.0,1.0,134,866,0,0
0.75,133,13.3,1.0,0.9925,0.9963,0.9963,0.999,133,866,0,1
0.8,133,13.3,1.0,0.9925,0.9963,0.9963,0.999,133,866,0,1
0.1,136,13.6,0.9853,1.0,0.9926,0.9988,0.998,134,864,2,0
0.85,132,13.2,1.0,0.9851,0.9925,0.9925,0.998,132,866,0,2
0.9,131,13.1,1.0,0.9776,0.9887,0.9888,0.997,131,866,0,3
