Test_ID,Actual_Validity,Actual_Binary,Supervised_Prediction,Supervised_Binary,Supervised_Probability_Invalid,IsolationForest_Score,IsolationForest_Flag,LOF_Score,LOF_Flag,Agreement_Group,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,missing_any,duplicate_measurement_pair,data_quality_issue
TRN-0140,Valid,0,Valid,0,0.32,0.5963988835729646,1,1.0112043974884648,0,Group 3 (Supervised Valid / Anomaly Anomalous),13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,,True,False,True
TRN-0135,Invalid,1,Invalid,1,0.68,0.4507230348020907,0,1.3936945993787209,0,Group 2 (Supervised Invalid / Anomaly Normal),23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,False,False,False
TRN-0405,Valid,0,Valid,0,0.29,0.59399535585435,1,0.9858474953188004,0,Group 3 (Supervised Valid / Anomaly Anomalous),24.6143,33.6779,42.1612,26.794,14.0177,13.065,18.7117,,True,False,True
TRN-0087,Invalid,1,Invalid,1,0.83,0.44860605622519817,0,1.3362401633217842,0,Group 2 (Supervised Invalid / Anomaly Normal),17.6142,31.0902,47.58,51.1189,10.8589,10.9508,3.2181,51.1091,False,False,False
TRN-0257,Valid,0,Valid,0,0.16,0.6036643510029045,1,0.9911474228987798,0,Group 3 (Supervised Valid / Anomaly Anomalous),30.6035,29.4846,36.2652,41.0898,16.7405,14.3861,22.2693,,True,False,True
TRN-0323,Invalid,1,Invalid,1,0.67,0.44160577522995775,0,1.1421370521980236,0,Group 2 (Supervised Invalid / Anomaly Normal),23.8319,94.5641,40.9548,12.1292,23.0025,17.4622,20.4693,53.8698,False,False,False
TRN-0124,Invalid,1,Invalid,1,0.82,0.45091557570419183,0,1.4629776972754807,0,Group 2 (Supervised Invalid / Anomaly Normal),28.7059,44.4546,28.3929,31.8519,16.5947,25.0,21.7478,58.4106,False,False,False
TRN-0434,Valid,0,Valid,0,0.23,0.5960467644962968,1,0.9738764497103748,0,Group 3 (Supervised Valid / Anomaly Anomalous),18.3304,91.2825,54.8353,42.0785,14.206,15.9913,17.3458,,True,False,True
TRN-0097,Invalid,1,Invalid,1,0.61,0.47062814445416246,0,1.250303633591773,0,Group 2 (Supervised Invalid / Anomaly Normal),24.0983,15.5749,32.5565,32.3226,12.5641,10.8077,5.4559,72.9077,False,False,False
TRN-0743,Invalid,1,Invalid,1,1.0,0.494295918477819,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal),16.6379,22.9675,37.3504,24.5539,9.2704,8.9039,12.3042,61.3833,False,True,False
TRN-0920,Valid,0,Valid,0,0.38,0.6041905190534267,1,0.9838847663006209,0,Group 3 (Supervised Valid / Anomaly Anomalous),28.0007,43.5856,29.5635,31.3067,16.4039,14.665,21.3004,,True,False,True
TRN-0167,Invalid,1,Valid,0,0.35,0.5273391511464409,1,1.3454471236951857,0,Group 3 (Supervised Valid / Anomaly Anomalous),9.1955,28.8878,39.9113,21.6789,6.0801,0.0631,7.9135,42.5394,False,False,False
TRN-0168,Invalid,1,Invalid,1,0.93,0.49537102532138694,0,0.9790744866077254,0,Group 2 (Supervised Invalid / Anomaly Normal),15.3642,103.1518,32.9891,37.3924,13.7518,15.742,16.2821,60.6418,False,True,False
TRN-0324,Valid,0,Valid,0,0.33,0.5665964588422094,1,0.9734516514305739,0,Group 3 (Supervised Valid / Anomaly Anomalous),18.6204,80.1765,35.0088,24.0491,13.5275,14.4397,16.6685,,True,False,True
TRN-0154,Invalid,1,Invalid,1,1.0,0.4865920816491763,0,0.9790744866077257,0,Group 2 (Supervised Invalid / Anomaly Normal),15.6191,87.307,31.2849,31.8206,12.6735,13.9206,15.2714,60.0861,False,True,False
TRN-0129,Valid,0,Valid,0,0.33,0.5972542991331976,1,0.9765570046210599,0,Group 3 (Supervised Valid / Anomaly Anomalous),21.1678,103.3248,40.2966,38.4533,16.1599,17.4796,19.4539,,True,False,True
TRN-0185,Invalid,1,Invalid,1,1.0,0.482568848340409,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal),13.0874,48.0294,42.0912,28.1127,9.6031,10.4584,12.469,52.8484,False,True,False
TRN-0346,Invalid,1,Invalid,1,1.0,0.47438900114425453,0,0.9864085007809388,0,Group 2 (Supervised Invalid / Anomaly Normal),13.4272,55.4707,35.9373,17.5331,9.7561,10.4939,12.1206,55.9888,False,True,False
TRN-0718,Invalid,1,Valid,0,0.21,0.5995444826390931,1,2.368254545274831,1,Group 3 (Supervised Valid / Anomaly Anomalous),11.7229,106.4226,33.7749,44.7718,11.9335,,13.9352,52.3137,True,False,True
TRN-0709,Valid,0,Valid,0,0.35,0.5009364753899007,1,1.2258680478636568,0,Group 3 (Supervised Valid / Anomaly Anomalous),29.2852,102.7158,48.2417,54.5325,20.3658,20.6792,25.271,68.8564,False,False,False
TRN-0995,Valid,0,Valid,0,0.19,0.5997460870254705,1,0.9874233353574329,0,Group 3 (Supervised Valid / Anomaly Anomalous),14.8736,90.321,43.7769,6.3052,12.5782,14.5,15.1172,,True,False,True
TRN-0051,Valid,0,Valid,0,0.18,0.5110138762591918,1,1.1463928580620761,0,Group 3 (Supervised Valid / Anomaly Anomalous),31.1752,99.3175,25.9078,5.095,20.6205,20.1688,25.4065,34.0022,False,False,False
TRN-0828,Valid,0,Valid,0,0.29,0.6010261671356243,1,1.0232282048575476,0,Group 3 (Supervised Valid / Anomaly Anomalous),12.2969,56.5112,39.2929,28.3125,9.4048,10.5472,11.7256,,True,False,True
TRN-0969,Valid,0,Valid,0,0.33,0.613178060275066,1,1.004723272327191,0,Group 3 (Supervised Valid / Anomaly Anomalous),30.7801,21.4751,27.9207,33.4875,16.1614,13.5707,21.6122,,True,False,True
TRN-0458,Invalid,1,Invalid,1,0.79,0.4181332935741756,0,1.2969995610930347,0,Group 2 (Supervised Invalid / Anomaly Normal),20.8054,64.9584,26.8743,57.8686,14.1824,22.0046,17.7369,45.5514,False,False,False
TRN-0523,Invalid,1,Invalid,1,0.58,0.49260125128780463,0,2.2976123653889706,1,Group 2 (Supervised Invalid / Anomaly Normal),11.8296,21.4584,32.3691,57.9892,25.0,7.3582,9.8972,38.2451,False,False,False
TRN-0945,Invalid,1,Invalid,1,0.98,0.47834208041762516,0,0.9905013229245789,0,Group 2 (Supervised Invalid / Anomaly Normal),26.7385,70.3804,36.3881,33.2994,17.2828,16.7397,21.7568,56.2922,False,True,False
TRN-0162,Valid,0,Valid,0,0.19,0.5102425190858146,1,1.364496572514245,0,Group 3 (Supervised Valid / Anomaly Anomalous),13.1679,23.7918,20.5211,29.8586,8.0068,7.4467,10.4513,19.7703,False,False,False
TRN-0765,Invalid,1,Invalid,1,0.74,0.4315240101485965,0,1.2567512374373608,0,Group 2 (Supervised Invalid / Anomaly Normal),25.7638,21.9445,30.2554,47.5049,13.902,20.392,18.6341,52.7792,False,False,False
TRN-0762,Valid,0,Valid,0,0.08,0.5014556511834051,1,1.256646242858024,0,Group 3 (Supervised Valid / Anomaly Anomalous),25.9956,109.9526,44.171,32.6094,19.0835,20.0698,23.5018,26.7068,False,False,False
