Test_ID,Actual_Validity,Actual_Binary,Predicted_Validity,Predicted_Binary,Probability_Invalid,Final_Threshold,Fold,Model,Feature_Set,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,missing_any,duplicate_measurement_pair,data_quality_issue
TRN-0561,Invalid,1,Valid,0,0.165,0.35,2,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),21.2552,28.753,28.5431,False,False,False
TRN-0734,Invalid,1,Valid,0,0.165,0.35,4,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),30.9058,62.5443,43.9515,False,False,False
TRN-0076,Invalid,1,Valid,0,0.29,0.35,4,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),19.98,51.4139,37.8555,False,False,False
TRN-0217,Invalid,1,Valid,0,0.27,0.35,2,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),12.8841,56.0493,29.0429,False,False,False
TRN-0935,Invalid,1,Valid,0,0.125,0.35,2,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),9.4254,88.5794,30.4932,False,False,False
TRN-0942,Invalid,1,Valid,0,0.255,0.35,4,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),19.2054,107.1021,18.0,False,False,False
TRN-0148,Invalid,1,Valid,0,0.04,0.35,1,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),11.8673,90.6809,39.2761,False,False,False
TRN-0618,Invalid,1,Valid,0,0.135,0.35,1,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),18.5828,33.833,44.6905,False,False,False
TRN-0059,Invalid,1,Valid,0,0.325,0.35,3,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),30.7887,106.5889,44.7605,False,False,False
TRN-0837,Invalid,1,Valid,0,0.06,0.35,4,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),22.8665,30.6578,36.9534,False,False,False
TRN-0401,Invalid,1,Valid,0,0.18,0.35,2,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),26.451,76.411,34.296,False,False,False
TRN-0950,Invalid,1,Valid,0,0.19,0.35,5,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),13.3577,103.8261,34.66,False,False,False
TRN-0499,Invalid,1,Valid,0,0.175,0.35,1,Random Forest (Balanced),Set C (Combined: Raw + Quality + Contextual),16.3503,36.5196,38.889,False,False,False
