Threshold,Invalid_Precision,Invalid_Recall,Invalid_F1,Accuracy,Balanced_Accuracy,TN,FP,FN,TP
0.1,0.4681,0.9851,0.6346,0.848,0.9059,716,150,2,132
0.15,0.6436,0.9701,0.7738,0.924,0.9435,794,72,4,130
0.2,0.7862,0.9328,0.8532,0.957,0.9468,832,34,9,125
0.25,0.8446,0.9328,0.8865,0.968,0.9531,843,23,9,125
0.3,0.8971,0.9104,0.9037,0.974,0.9471,852,14,12,122
0.35,0.968,0.903,0.9344,0.983,0.9492,862,4,13,121
0.4,0.9675,0.8881,0.9261,0.981,0.9417,862,4,15,119
0.45,0.9829,0.8582,0.9163,0.979,0.9279,864,2,19,115
0.5,0.9913,0.8507,0.9157,0.979,0.9248,865,1,20,114
0.55,0.9912,0.8358,0.9069,0.977,0.9173,865,1,22,112
0.6,0.991,0.8209,0.898,0.975,0.9099,865,1,24,110
0.65,1.0,0.791,0.8833,0.972,0.8955,866,0,28,106
0.7,1.0,0.7612,0.8644,0.968,0.8806,866,0,32,102
0.75,1.0,0.7015,0.8246,0.96,0.8507,866,0,40,94
0.8,1.0,0.6045,0.7535,0.947,0.8022,866,0,53,81
0.85,1.0,0.4627,0.6327,0.928,0.7313,866,0,72,62
0.9,1.0,0.3284,0.4944,0.91,0.6642,866,0,90,44
